(860380,1) 1
(996392,1) 1
(42799,1) 1
(263040,1) 1
(949557,1) 1
(267047,1) 1
(32515,1) 1
(180051,1) 1
(65521,1) 1
(731561,1) 1
(623936,1) 1
(802979,1) 1
(442071,1) 1
(368055,1) 1
(969483,1) 1
(53263,1) 1
(149711,1) 1
(349983,1) 1
(201539,1) 1
(242098,1) 1
(486616,1) 1
(689432,1) 1
(195438,1) 1
(72859,1) 1
(561488,1) 1
(968546,1) 1
(654773,1) 1
(947708,1) 1
(370507,1) 1
(73750,1) 1
(802704,1) 1
(546310,1) 1
(671673,1) 1
(680391,1) 1
(205214,1) 1
(997509,1) 1
(831484,1) 1
(88505,1) 1
(272766,1) 1
(797411,1) 1
(396208,1) 1
(336810,1) 1
(300974,1) 1
(971167,1) 1
(678064,1) 1
(750904,1) 1
(348920,1) 1
(461473,1) 1
(576281,1) 1
(449035,1) 1
(385618,1) 1
(983804,1) 1
(748466,1) 1
(586392,1) 1
(417204,1) 1
(188304,1) 1
(262160,1) 1
(784654,1) 1
(970943,1) 1
(225142,1) 1
(667980,1) 1
(344273,1) 1
(53916,1) 1
(568144,1) 1
(175846,1) 1
(638534,1) 1
(812665,1) 1
(466074,1) 1
(360523,1) 1
(880226,1) 1
(914154,1) 1
(651699,1) 1
(320775,1) 1
(460927,1) 1
(118038,1) 1
(879292,1) 1
(253090,1) 1
(563786,1) 1
(169693,1) 1
(924323,1) 1
(744616,1) 1
(371683,1) 1
(834188,1) 1
(427890,1) 1
(404433,1) 1
(125698,1) 1
(510875,1) 1
(175858,1) 1
(330827,1) 1
(832429,1) 1
(719901,1) 1
(753281,1) 1
(150114,1) 1
(542042,1) 1
(683773,1) 1
(808962,1) 1
(634512,1) 1
(855579,1) 1
(261269,1) 1
(57210,1) 1
(231505,1) 1
(751157,1) 1
(446058,1) 1
(534645,1) 1
(47103,1) 1
(371446,1) 1
(888815,1) 1
(55785,1) 1
(352383,1) 1
(386902,1) 1
(609818,1) 1
(168871,1) 1
(260658,1) 1
(897579,1) 1
(341420,1) 1
(592905,1) 1
(513664,1) 1
(551024,1) 1
(336756,1) 1
(730409,1) 1
(761669,1) 1
(895861,1) 1
(56314,1) 1
(56857,1) 1
(203880,1) 1
(206519,1) 1
(584832,1) 1
(847209,1) 1
(83470,1) 1
(144880,1) 1
(474625,1) 1
(313577,1) 1
(152867,1) 1
(91652,1) 1
(398731,1) 1
(141231,1) 1
(579147,1) 1
(912994,1) 1
(101831,1) 1
(439071,1) 1
(223024,1) 1
(493517,1) 1
(439957,1) 1
(20087,1) 1
(426624,1) 1
(364062,1) 1
(101947,1) 1
(703784,1) 1
(824643,1) 1
(901220,1) 1
(736534,1) 1
(701041,1) 1
(169255,1) 1
(131815,1) 1
(638018,1) 1
(922623,1) 1
(738148,1) 1
(541667,1) 1
(49054,1) 1
(728590,1) 1
(843066,1) 1
(327840,1) 1
(569951,1) 1
(840804,1) 1
(544947,1) 1
(2395,1) 1
(127254,1) 1
(261284,1) 1
(432948,1) 1
(931401,1) 1
(597341,1) 1
(893244,1) 1
(924387,1) 1
(815644,1) 1
(825912,1) 1
(951232,1) 1
(838882,1) 1
(603292,1) 1
(634835,1) 1
(148260,1) 1
(704529,1) 1
(488306,1) 1
(569484,1) 1
(533029,1) 1
(530868,1) 1
(252124,1) 1
(941197,1) 1
(449232,1) 1
(377703,1) 1
(945068,1) 1
(830781,1) 1
(948913,1) 1
(277416,1) 1
(843210,1) 1
(688170,1) 1
(693487,1) 1
(826597,1) 1
(631357,1) 1
(569015,1) 1
(955587,1) 1
(935845,1) 1
(134306,1) 1
(258609,1) 1
(921542,1) 769
(697254,1) 1
(649266,1) 1
(87037,1) 1
(714712,1) 1
(677248,1) 1
(328050,1) 1
(343226,1) 1
(392516,1) 1
(690128,1) 1
(662399,1) 1
(702808,1) 1
(27237,1) 1
(452978,1) 1
(954790,1) 1
(58222,1) 1
(8676,1) 1
(298862,1) 1
(469906,1) 1
(121411,1) 1
(565924,1) 1
(105319,1) 1
(203682,1) 1
(868767,1) 1
(7696,1) 1
(145939,1) 1
(644619,1) 1
(615783,1) 1
(34508,1) 1
(586534,1) 1
(384873,1) 1
(717108,1) 1
(771876,1) 1
(938894,1) 1
(613073,1) 1
(159762,1) 1
(866025,1) 1
(837781,1) 1
(990209,1) 1
(433862,1) 1
(294685,1) 1
(656121,1) 1
(668930,1) 1
(165294,1) 1
(301250,1) 1
(976607,1) 1
