(880798,1) 1
(443923,1) 1
(271142,1) 1
(318872,1) 1
(597324,1) 1
(950706,1) 1
(582429,1) 1
(436391,1) 1
(186870,1) 1
(509497,1) 1
(872455,1) 1
(106663,1) 1
(820689,1) 1
(56849,1) 1
(467467,1) 1
(667405,1) 1
(900079,1) 1
(348840,1) 1
(154306,1) 1
(523532,1) 1
(999909,1) 1
(360052,1) 1
(476024,1) 1
(987995,1) 1
(512152,1) 1
(4560,1) 1
(801642,1) 1
(620510,1) 1
(235195,1) 1
(314475,1) 1
(375394,1) 1
(121875,1) 1
(902295,1) 1
(972276,1) 1
(515235,1) 1
(739943,1) 1
(353619,1) 1
(829169,1) 1
(181409,1) 1
(654177,1) 1
(48679,1) 1
(783005,1) 1
(923650,1) 1
(487174,1) 1
(407404,1) 1
(12957,1) 1
(714053,1) 1
(535389,1) 1
(36283,1) 1
(234295,1) 1
(359510,1) 1
(393563,1) 1
(29916,1) 1
(746408,1) 1
(602535,1) 1
(502360,1) 1
(876760,1) 1
(353574,1) 1
(40377,1) 1
(940768,1) 1
(507890,1) 1
(422923,1) 1
(156959,1) 1
(218318,1) 1
(993227,1) 1
(577399,1) 1
(500338,1) 1
(620875,1) 1
(870538,1) 1
(281656,1) 1
(325673,1) 1
(968147,1) 1
(27508,1) 1
(742255,1) 1
(202225,1) 1
(315615,1) 1
(901461,1) 1
(950296,1) 1
(501289,1) 1
(224685,1) 1
(34882,1) 1
(76075,1) 1
(540087,1) 1
(853685,1) 1
(540008,1) 1
(24572,1) 1
(447379,1) 1
(89512,1) 1
(425582,1) 1
(690652,1) 1
(677184,1) 1
(896008,1) 1
(495072,1) 1
(425032,1) 1
(82717,1) 1
(142199,1) 1
(286494,1) 1
(387032,1) 1
(46693,1) 1
(308440,1) 1
(71604,1) 1
(37814,1) 1
(659656,1) 1
(295519,1) 1
(739953,1) 1
(365924,1) 1
(723307,1) 1
(858683,1) 1
(579386,1) 1
(807235,1) 1
(304398,1) 1
(515828,1) 1
(154285,1) 1
(556193,1) 1
(653834,1) 1
(273360,1) 1
(468061,1) 1
(21699,1) 1
(629486,1) 1
(755175,1) 1
(165172,1) 1
(348635,1) 1
(676488,1) 1
(978508,1) 1
(664794,1) 1
(989992,1) 1
(622003,1) 1
(869144,1) 1
(162166,1) 1
(585114,1) 1
(486889,1) 1
(794606,1) 1
(502290,1) 1
(918478,1) 1
(813657,1) 1
(951743,1) 1
(176136,1) 1
(906127,1) 1
(60684,1) 1
(823666,1) 1
(256323,1) 1
(218722,1) 1
(757025,1) 1
(534898,1) 1
(481412,1) 1
(298040,1) 1
(78198,1) 1
(434223,1) 1
(303161,1) 1
(562839,1) 1
(27040,1) 1
(760728,1) 1
(682557,1) 1
(607116,1) 1
(983108,1) 1
(454058,1) 1
(73856,1) 1
(620953,1) 1
(912918,1) 1
(638718,1) 1
(45684,1) 1
(145122,1) 1
(38736,1) 1
(787348,1) 1
(25901,1) 1
(248357,1) 1
(161934,1) 1
(646867,1) 1
(527761,1) 1
(669743,1) 1
(224621,1) 1
(793744,1) 1
(484202,1) 1
(552887,1) 1
(868948,1) 1
(149703,1) 1
(428096,1) 1
(438363,1) 1
(109921,1) 1
(800812,1) 1
(711725,1) 1
(665778,1) 1
(537374,1) 1
(914635,1) 1
(687020,1) 1
(485491,1) 1
(330770,1) 1
(637785,1) 1
(669209,1) 1
(975425,1) 1
(587366,1) 1
(188692,1) 1
(767725,1) 1
(436154,1) 1
(145657,1) 1
(499080,1) 1
(44475,1) 1
(996350,1) 1
(808123,1) 1
(627300,1) 1
